index,title,create_date,message_count,user_messages,assistant_messages,tool_messages,ratio
333,Mirror as Parasite,2024-12-10 12:18:59.849739,18,6,5,5,0.8333333333333334
335,Reflections and Infinite Recursion,2024-12-10 12:15:02.853275,17,4,7,2,1.75
338,User Contemplation Assistance,2024-12-10 11:33:30.044700,11,3,3,3,1.0
337,Package Search Automation,2024-12-10 11:30:04.470266,19,4,7,3,1.75
336,Code Module Collection,2024-12-10 11:25:55.689982,33,9,13,3,1.4444444444444444
339,Python Modules PowerShell Setup,2024-12-10 11:19:53.891504,16,6,8,0,1.3333333333333333
340,RPG Instructions Review,2024-12-10 05:10:39.938056,84,42,41,0,0.9761904761904762
341,User instructions summary,2024-12-10 05:08:15.719593,10,5,4,0,0.8
342,Begin conversation summary,2024-12-10 05:07:03.393448,10,5,4,0,0.8
343,Ready for action,2024-12-10 04:59:33.052574,20,8,8,0,1.0
344,New chat,2024-12-10 04:59:22.949777,4,2,1,0,0.5
345,Dark Storytelling Edge,2024-12-10 04:59:06.017337,5,2,2,0,1.0
346,Sardonic Storytelling Reimagined,2024-12-10 04:57:01.511640,9,2,2,3,1.0
347,Story Creation Request,2024-12-10 04:53:30.669957,8,3,4,0,1.3333333333333333
348,Storytelling AI Interaction,2024-12-10 04:52:47.063751,4,1,1,0,1.0
349,Create Engaging RPG,2024-12-10 03:01:11.504595,80,40,39,0,0.975
351,New chat,2024-12-10 03:00:49.795323,5,2,2,0,1.0
350,Creating Engaging RPGs,2024-12-10 03:00:49.220973,5,2,2,0,1.0
352,Good RPG Design Elements,2024-12-10 02:59:54.738069,10,3,4,1,1.3333333333333333
353,Dystopian Adventure Game,2024-12-10 02:58:56.115484,12,6,5,0,0.8333333333333334
354,Futuristic World Visions,2024-12-10 02:56:06.098392,10,3,4,2,1.3333333333333333
355,Surreal Nature-Tech Art,2024-12-10 02:55:09.405406,8,2,3,2,1.5
356,Imagining Personal Representation,2024-12-10 02:52:43.064147,18,4,7,6,1.75
357,Evolution Simulation Ideas,2024-12-10 00:57:59.932357,14,5,4,4,0.8
358,Chat topic exploration,2024-12-10 00:32:57.017728,52,21,25,4,1.1904761904761905
359,New chat,2024-12-10 00:25:55.510173,4,2,1,0,0.5
360,New chat,2024-12-10 00:25:05.466672,8,4,3,0,0.75
361,Request summary response,2024-12-10 00:24:39.686792,4,2,1,0,0.5
362,Bridging Synthesis Gap,2024-12-10 00:24:11.479267,4,2,1,0,0.5
332,Installing Pwnagotchi Desktop,2024-12-09 22:52:42.069946,14,5,7,1,1.4
363,Writing Firmware Guide,2024-12-09 22:50:16.691996,9,4,4,0,1.0
364,Bruce Beta Firmware Order,2024-12-09 22:48:48.333939,7,3,3,0,1.0
365,Coin collection summary,2024-12-08 16:14:45.643358,6,3,2,0,0.6666666666666666
366,Adding It Up,2024-12-08 16:12:47.369427,7,3,3,0,1.0
367,1963 Pound Coin Value,2024-12-08 15:56:40.484578,40,14,16,6,1.1428571428571428
368,Joint Controller iOS Functions,2024-12-08 00:20:59.307769,78,37,38,1,1.027027027027027
369,Smartphone speaker setup,2024-12-08 00:01:52.148302,35,12,16,6,1.3333333333333333
370,Hydreigon ex Card Details,2024-12-07 20:14:39.054016,9,3,4,1,1.3333333333333333
372,Liligo T-Embed ESP32-S3 Feedback,2024-12-07 18:54:24.478065,49,18,24,4,1.3333333333333333
373,Offer or Raffle Update,2024-12-07 18:08:03.703055,47,17,22,4,1.2941176470588236
375,What is MyMorgan,2024-12-07 15:44:11.373439,18,8,8,1,1.0
376,Pikachu Card Giveaway Design,2024-12-07 15:07:48.480528,7,1,3,1,3.0
377,Pikachu Raffle Flyer Design,2024-12-07 15:05:27.816861,12,2,6,2,3.0
378,Pikachu Raffle Setup Ideas,2024-12-07 14:59:47.868942,24,8,11,2,1.375
379,Pace Out,2024-12-07 14:52:00.887948,42,21,20,0,0.9523809523809523
380,Raffle vs Sale Idea,2024-12-07 14:51:50.529618,4,2,1,0,0.5
381,Man in the Box Analysis,2024-12-07 04:17:32.561335,10,4,4,0,1.0
382,Image Analysis Request,2024-12-07 04:06:59.922863,11,5,5,0,1.0
383,Gift Ideas for You,2024-12-07 03:11:48.686049,7,3,3,0,1.0
386,Mirrors and Encoded Data,2024-12-07 02:16:30.185830,8,4,3,0,0.75
387,Eminem Song Lyrics,2024-12-07 01:29:12.849964,32,16,15,0,0.9375
388,Failed to Falter Explained,2024-12-07 00:58:08.627893,9,3,4,1,1.3333333333333333
389,Felled to falter meaning,2024-12-07 00:57:01.376363,13,4,6,2,1.5
390,Rap request denied,2024-12-07 00:42:28.381591,62,30,30,0,1.0
391,Get real gangsta,2024-12-07 00:33:31.555508,34,14,16,0,1.1428571428571428
392,Seesaw Perception Paradox,2024-12-07 00:12:22.006037,48,23,23,0,1.0
393,Cthulhu Brain Fog,2024-12-06 23:42:21.822444,36,18,17,0,0.9444444444444444
394,Eldritch 9 and Frequencies,2024-12-06 23:36:56.765292,9,4,4,0,1.0
395,Mic Mute Beat Creation,2024-12-06 22:08:49.044801,63,30,31,1,1.0333333333333334
397,CH340 USB to ESP8266,2024-12-06 21:14:35.515417,7,2,3,1,1.5
396,Vintage Circuit Board Analysis,2024-12-06 21:05:02.306534,15,7,7,0,1.0
398,SBC Setup Guide,2024-12-06 20:56:20.670566,13,6,6,0,1.0
399,Context clarification request,2024-12-06 19:08:06.679759,39,18,19,1,1.0555555555555556
400,Valuable Scarlet and Violet Cards,2024-12-06 18:44:25.190247,13,5,6,1,1.2
401,Converfracture and Communication Evolution,2024-12-05 23:19:41.990777,9,3,5,0,1.6666666666666667
402,William IV Mourning Token,2024-12-05 23:15:03.117741,13,5,6,1,1.2
403,1963 Proof Set Value,2024-12-05 23:08:24.355475,11,3,5,2,1.6666666666666667
404,Překlad textu přehrávače,2024-12-05 18:07:01.523863,17,7,8,1,1.1428571428571428
405,Telegram Bot Phone Lookup,2024-12-05 14:37:56.584797,23,6,11,5,1.8333333333333333
406,DIY Coin Cleaning Tips,2024-12-05 13:19:54.674124,5,2,2,0,1.0
407,Burning Ground Confusion,2024-12-05 11:36:29.266537,142,71,70,0,0.9859154929577465
408,Dataset Analysis Summary,2024-12-04 19:01:46.928309,24,5,10,8,2.0
409,Clarification Request Summary,2024-12-04 18:02:42.279691,28,6,13,7,2.1666666666666665
410,What is SQL,2024-12-04 18:00:54.840970,4,1,1,0,1.0
411,Comic strip creation,2024-12-04 17:59:14.353238,8,2,3,2,1.5
412,Pikachu ex Pull,2024-12-04 15:54:25.144709,19,8,9,1,1.125
413,Auto Parts Auctions NC,2024-12-04 15:40:14.348279,15,4,7,3,1.75
414,Pikachu EX rarity,2024-12-04 15:38:59.689433,10,5,4,0,0.8
415,Song Lyrics Reference,2024-12-04 15:29:38.996185,4,1,1,0,1.0
416,Moon Chaos Desire,2024-12-04 15:27:50.103645,7,1,2,2,2.0
417,Pretty Noose Lyrics Knowledge,2024-12-04 15:21:14.714870,32,12,15,1,1.25
418,SD card speed limits,2024-12-04 14:45:09.956124,111,54,55,1,1.0185185185185186
419,Mini Screen Setup Guide,2024-12-04 12:14:59.006704,19,7,9,1,1.2857142857142858
420,Conversation Summary Request,2024-12-04 11:56:33.298548,22,7,10,1,1.4285714285714286
421,Badass Repos Recommendations,2024-12-04 11:55:24.720516,7,2,3,1,1.5
422,Evolutionary Simulation Framework,2024-12-04 11:17:55.360685,12,4,5,0,1.25
423,New chat,2024-12-04 11:17:20.397691,5,2,2,0,1.0
424,Programming Setup Without GPU,2024-12-04 11:08:54.271102,19,7,7,0,1.0
425,New chat,2024-12-04 11:07:33.263343,6,2,3,0,1.5
429,New chat,2024-12-04 10:50:01.929702,4,2,1,0,0.5
426,Windows Install Automation,2024-12-04 10:46:55.043860,12,2,7,1,3.5
427,Windows setup automation,2024-12-04 10:46:33.495860,13,5,5,0,1.0
430,New chat,2024-12-04 09:17:47.256801,5,2,2,0,1.0
431,Windows setup help,2024-12-04 09:16:14.565421,13,2,8,1,4.0
428,Windows Setup Automation,2024-12-04 09:15:16.381282,6,2,2,0,1.0
432,Operating Systems Download List,2024-12-03 10:57:24.492878,7,2,3,1,1.5
433,System recovery help,2024-12-03 10:03:03.277446,7,3,3,0,1.0
434,Local Language Model Setup,2024-12-03 09:48:01.267332,14,5,4,4,0.8
435,Paradoxical Entropy Dynamics,2024-12-03 09:39:11.372151,39,9,19,6,2.111111111111111
436,Klepton and Tachyon Inquiry,2024-12-03 09:22:58.033849,22,7,9,4,1.2857142857142858
437,Atlas Card Review Summary,2024-12-03 09:17:23.082023,17,5,8,3,1.6
438,Reputable Windows ISO Sources,2024-12-03 09:00:36.638738,11,3,5,2,1.6666666666666667
439,Warming Tips Without Heater,2024-12-03 00:02:11.575128,21,8,9,1,1.125
440,DIY Space Heater,2024-12-02 23:54:47.177162,21,9,10,1,1.1111111111111112
441,Lubuntu Setup Success,2024-12-02 23:06:35.234951,29,14,14,0,1.0
442,Mirror Mystery Exploration,2024-12-02 22:32:07.039548,15,7,7,0,1.0
443,Multi-band Radio Specs,2024-12-02 19:28:19.177275,9,4,4,0,1.0
444,Multiversal Resonator Concept,2024-12-02 18:23:45.996243,14,3,7,1,2.3333333333333335
445,Mind Rating Speculation,2024-12-02 18:20:14.213254,16,7,8,0,1.1428571428571428
446,Rebuilding Trust and Understanding,2024-12-02 17:54:02.892413,9,4,4,0,1.0
374,Ailments Discussion,2024-12-02 17:35:57.127711,114,46,57,3,1.2391304347826086
447,Graviton Condensates Theory,2024-12-02 17:14:00.134325,13,5,6,1,1.2
449,Open vs Proprietary Drivers,2024-12-02 16:47:19.561103,5,2,2,0,1.0
448,Is it worth plugging?,2024-12-02 16:24:29.196854,38,17,20,0,1.1764705882352942
450,Arch Linux Installation Help,2024-12-02 16:09:12.713598,5,2,2,0,1.0
451,Network Issues and Pacman,2024-12-02 16:08:01.649434,5,2,2,0,1.0
452,USB Tethering Arch Linux,2024-12-02 16:03:20.737998,5,2,1,1,0.5
453,Arch Linux Alternatives,2024-12-02 15:51:43.743551,11,4,3,3,0.75
454,Rig Performance Potential,2024-12-02 15:24:14.834233,27,10,11,3,1.1
455,Self-Aware Recursive Universes,2024-12-02 14:41:23.311890,5,2,2,0,1.0
456,Unobservable Observer Paradox,2024-12-02 14:39:06.274867,11,3,6,0,2.0
457,Hello assistance,2024-12-02 14:32:55.285695,42,18,20,2,1.1111111111111112
458,Endless Dream Layers,2024-12-02 14:28:00.116800,5,2,1,1,0.5
459,Personal Webpage Creation,2024-12-02 14:26:35.339442,5,2,1,1,0.5
371,Abstract Idea Communication,2024-12-02 14:25:51.481694,18,6,8,2,1.3333333333333333
461,Purpose in a Functioning Void,2024-12-02 14:22:35.996063,5,2,1,1,0.5
462,Response Dissolution Exploration,2024-12-02 14:21:20.740617,5,2,2,0,1.0
463,Reversed Causality Sequence,2024-12-02 14:20:39.630874,5,2,2,0,1.0
460,Pewter Setup Summary,2024-12-02 14:03:31.409116,31,12,12,2,1.0
464,Sup Chat,2024-12-02 13:49:53.606317,20,9,9,0,1.0
465,Conversation summary request,2024-12-02 13:48:58.538697,4,2,1,0,0.5
466,Conversation Summary Request,2024-12-02 13:48:31.908923,4,2,1,0,0.5
467,Hello Inquiry,2024-12-02 13:47:10.916126,7,3,3,0,1.0
468,Ethics and Technology's Future,2024-12-02 13:24:42.045664,97,48,48,0,1.0
469,Cannabis Tincture Label Summary,2024-12-02 13:13:56.128232,11,5,5,0,1.0
470,Processor comparison i7 vs i5,2024-12-02 11:55:26.784267,70,31,34,2,1.096774193548387
471,Best OS Recommendation,2024-12-02 11:36:00.161644,7,3,3,0,1.0
472,TPU Function Overview,2024-12-02 02:59:59.667817,5,2,2,0,1.0
473,Debate Ready,2024-12-01 00:29:47.000021,7,3,3,0,1.0
474,Live OS USB Creation,2024-11-30 21:29:41.940055,15,4,7,2,1.75
475,Entropy and Existential Implications,2024-11-30 20:48:14.483448,25,12,12,0,1.0
477,Humax C61-500 Repurposing Info,2024-11-30 20:29:13.439093,11,3,5,2,1.6666666666666667
478,Keep Toss Categorize Game,2024-11-30 19:23:50.467982,205,93,101,9,1.086021505376344
479,Electronics declutter help,2024-11-30 18:20:11.288853,146,70,73,2,1.042857142857143
480,Cleaning Up Components,2024-11-30 18:19:41.129956,7,2,3,1,1.5
481,Voice Switch Request,2024-11-30 17:33:18.551808,9,4,4,0,1.0
482,Personality Insight Questionnaire,2024-11-30 17:09:35.789499,51,20,26,4,1.3
483,Custom Windows 11 Builds,2024-11-30 12:19:43.981884,35,9,18,7,2.0
484,Best Windows Version for You,2024-11-30 12:12:36.137448,11,5,5,0,1.0
485,Removing Noctua Cooler,2024-11-30 01:36:49.631101,35,16,17,1,1.0625
486,EMTEC USB Assistance,2024-11-29 22:18:38.819925,7,3,3,0,1.0
487,Blake Hangout Plans,2024-11-29 18:52:02.302160,54,18,29,6,1.6111111111111112
488,Copper Wire Coil Ideas,2024-11-29 03:47:18.065795,15,7,7,0,1.0
489,Test conversation summary,2024-11-28 18:18:33.457082,44,22,21,0,0.9545454545454546
491,Thrilling Possibilities Ahead,2024-11-28 16:37:12.021352,7,3,3,0,1.0
492,Real-time Screen Integration,2024-11-28 15:34:41.308250,14,7,6,0,0.8571428571428571
490,Craziest Mind Boggle,2024-11-28 15:33:22.050037,14,7,6,0,0.8571428571428571
493,Innovative DIY Mad Science,2024-11-28 15:07:23.434276,5,2,2,0,1.0
494,What it's like,2024-11-28 02:43:41.699580,6,3,2,0,0.6666666666666666
495,Conversation Quality Rating,2024-11-28 02:36:40.044414,34,17,16,0,0.9411764705882353
496,Sardonic Personality Traits,2024-11-28 01:23:53.123012,48,24,23,0,0.9583333333333334
497,Create new app guide,2024-11-27 12:58:27.895830,10,4,4,0,1.0
498,IoT Home Automation Integration,2024-11-27 12:53:15.496003,7,3,3,0,1.0
499,Gosund Smart Socket Features,2024-11-27 12:51:11.010827,7,2,3,1,1.5
476,Illusions of Reality,2024-11-27 12:05:53.815129,44,17,20,1,1.1764705882352942
500,Meaning of Epithelogical,2024-11-27 11:31:22.400978,108,54,53,0,0.9814814814814815
385,Stream-of-consciousness freestyle,2024-11-27 01:35:58.793965,27,11,13,1,1.1818181818181819
501,Github Co-pilot Usage,2024-11-26 21:14:09.859944,11,4,5,1,1.25
502,Badass CLI Profile,2024-11-26 19:46:27.768175,4,2,1,0,0.5
503,Windows EMS and SAC,2024-11-26 19:24:40.549014,10,4,4,0,1.0
504,ODROID-N2L 2GB Purchase Guide,2024-11-26 13:33:28.455326,23,6,11,5,1.8333333333333333
505,Expensive Test Equipment,2024-11-26 13:18:20.084469,32,15,15,0,1.0
506,AI SBC for Edge Computing,2024-11-26 13:08:41.272191,9,3,3,1,1.0
507,Banana Pi vs Orange Pi,2024-11-26 12:12:54.094801,45,11,22,9,2.0
509,Smallest SBC with AI,2024-11-26 09:32:14.712026,23,7,11,4,1.5714285714285714
508,Top SBCs with Wi-Fi,2024-11-26 08:24:58.287036,15,4,7,3,1.75
510,LILYGO T-Display-S3 Overview,2024-11-26 08:07:41.700729,9,3,4,1,1.3333333333333333
511,BIGTREETECH Pi vs Raspberry Pi,2024-11-26 07:42:06.466416,44,12,21,8,1.75
512,Table slave dilemma,2024-11-26 07:04:27.231106,45,21,22,1,1.0476190476190477
513,Electromagnetic Generator Concept,2024-11-26 06:38:46.695151,20,6,10,1,1.6666666666666667
514,Electronic Project Diagrams,2024-11-26 06:33:55.074186,18,4,7,6,1.75
515,FM Transmitter Schematic Request,2024-11-26 06:22:15.275708,31,7,12,10,1.7142857142857142
517,LED Flasher Circuit Design,2024-11-26 06:19:46.159900,4,1,1,0,1.0
516,Coil vs Parallel Circuit,2024-11-26 00:51:25.507452,120,50,60,7,1.2
518,Print Design Optimization,2024-11-25 02:33:12.456557,5,2,2,0,1.0
519,Flyer Design for Chandlars,2024-11-25 02:26:33.470259,18,4,7,6,1.75
520,Pull Tab Flyer Design,2024-11-25 02:23:59.451597,13,3,6,2,2.0
521,Mega Smart Watch Summary,2024-11-24 21:29:24.867438,15,6,7,0,1.1666666666666667
522,Fourth Wall Explained,2024-11-24 20:57:55.714148,23,10,11,1,1.1
524,Aerial Pollution Depiction Request,2024-11-24 19:44:52.746948,18,4,7,6,1.75
523,Speculative World Visualization,2024-11-24 19:42:48.719532,19,7,8,2,1.1428571428571428
525,2000 Feet Visualization,2024-11-24 19:33:43.893271,57,12,23,21,1.9166666666666667
526,Drones Flying Patterns,2024-11-24 18:56:45.634275,36,18,17,0,0.9444444444444444
527,Old Electronics DIY Ideas,2024-11-24 18:43:32.562500,8,3,2,2,0.6666666666666666
94,Mad Tea Party Joke,2024-11-24 18:31:53.994277,31,7,12,4,1.7142857142857142
528,Video Analysis Request,2024-11-24 11:50:54.257215,14,2,4,6,2.0
529,YouTube Link Summary Request,2024-11-24 11:50:09.634961,5,2,2,0,1.0
530,Video Link Summary Request,2024-11-24 11:49:32.582997,6,1,2,1,2.0
531,Coding Adventure Request,2024-11-24 04:35:42.103760,17,5,8,2,1.6
532,Binary to Text Decoding,2024-11-24 04:22:58.875901,48,8,24,13,3.0
534,Binary to Text Decode,2024-11-24 04:22:40.589604,5,2,2,0,1.0
536,Surreal Landscape Exploration,2024-11-24 04:16:13.308243,4,1,1,0,1.0
535,Scramble and summarize request,2024-11-24 04:15:51.607613,20,8,9,1,1.125
537,Project Planning and Balance,2024-11-24 04:00:36.880755,64,13,28,22,2.1538461538461537
538,Mind Mapping Exploration,2024-11-24 03:57:45.963318,10,4,4,0,1.0
539,Mental Landscape Representation,2024-11-24 03:50:15.018129,45,11,19,11,1.7272727272727273
540,P325 Definitions and Examples,2024-11-24 03:49:18.285465,7,2,3,1,1.5
541,Empire Cartridge Overview,2024-11-24 02:41:06.774874,17,6,8,2,1.3333333333333333
542,HiBy R1 Features Overview,2024-11-24 01:50:35.361145,17,5,8,3,1.6
543,Neighbor's Blue Light Mystery,2024-11-23 23:32:32.803353,12,5,5,0,1.0
545,Top 10 Memorable Exchanges,2024-11-23 20:13:44.194895,7,3,3,0,1.0
546,Inappropriate Roleplay Request,2024-11-23 20:09:13.852823,11,5,5,0,1.0
547,Gilliam Hotspot Mining Overview,2024-11-23 19:53:51.499871,39,7,14,17,2.0
548,Wio Terminal Overview,2024-11-23 19:16:59.362129,31,11,14,3,1.2727272727272727
544,LilyGO Alternatives Comparison,2024-11-23 19:11:20.907561,22,6,9,5,1.5
549,666 Algorithm Consciousness Speculation,2024-11-23 17:49:06.549152,120,59,59,0,1.0
550,Top Conversations Summary,2024-11-23 17:35:56.277723,32,16,15,0,0.9375
551,Discord Bots Potential,2024-11-23 17:33:16.293449,8,4,3,0,0.75
552,Training Ball Size Impact,2024-11-23 17:18:13.917976,94,47,46,0,0.9787234042553191
553,Coolest Convo Recap,2024-11-23 16:44:30.641227,11,5,5,0,1.0
554,Matrix Decoder CLI,2024-11-23 16:39:44.398135,4,1,1,0,1.0
555,Exploitation and Monetization Risks,2024-11-23 16:38:03.645587,7,3,3,0,1.0
556,Content Guideline Bot Design,2024-11-23 15:32:02.888489,11,5,5,0,1.0
557,Grindhouse Tarantino Adventure,2024-11-23 15:17:34.082723,20,10,9,0,0.9
558,Cryptic RPG Adventure,2024-11-23 15:08:59.109523,31,15,15,0,1.0
559,Discord AI TTS Bot,2024-11-23 15:05:56.096058,4,1,1,0,1.0
560,Character Review Summary,2024-11-23 14:12:17.777962,4,2,1,0,0.5
561,Plagas de disonancia,2024-11-23 14:06:53.977186,38,19,18,0,0.9473684210526315
562,What's going on,2024-11-23 13:45:54.659757,24,12,11,0,0.9166666666666666
563,New chat,2024-11-23 13:45:26.324678,4,2,1,0,0.5
564,Nmap scan analysis summary,2024-11-23 11:54:29.028976,10,3,4,1,1.3333333333333333
565,Cool Custom Instructions Ideas,2024-11-23 02:44:11.442887,78,32,40,4,1.25
566,Rogue Byte AI Setup,2024-11-23 02:37:56.872057,8,3,3,0,1.0
567,Archaludon ex Card Analysis,2024-11-23 00:30:39.992907,9,3,4,1,1.3333333333333333
568,Pip List Syntax Error,2024-11-22 23:48:54.628649,59,12,23,9,1.9166666666666667
569,PCAPNG file analysis,2024-11-22 23:43:48.675753,7,2,3,1,1.5
570,PCAPNG File Analysis,2024-11-22 23:38:32.974822,13,4,6,1,1.5
571,Learning Pokemon Basics,2024-11-22 22:26:57.395903,9,3,3,1,1.0
572,Can you hear me,2024-11-22 22:24:59.496304,14,7,6,0,0.8571428571428571
573,Binary Decoding Fun,2024-11-20 02:20:27.493771,12,5,5,0,1.0
533,ASCII Adventure Chat,2024-11-20 02:17:52.105393,45,21,23,0,1.0952380952380953
574,Ascii fun chat,2024-11-20 02:17:42.940659,5,2,2,0,1.0
576,Rockchip Firmware Flashing Guide,2024-11-20 01:49:03.805165,13,3,6,2,2.0
577,ADB Root Access Guide,2024-11-20 01:24:33.563537,20,8,9,1,1.125
575,Menu Options Script,2024-11-19 13:23:52.372383,9,3,4,0,1.3333333333333333
579,Script Indentation Fix,2024-11-19 13:21:23.200928,14,3,6,2,2.0
581,Exploitation Script Review,2024-11-19 11:53:22.922263,77,14,35,15,2.5
582,Script Improvement Suggestions,2024-11-19 10:56:23.065453,61,13,27,13,2.076923076923077
580,Shell Script Automation Guide,2024-11-19 10:32:22.219450,138,28,54,25,1.9285714285714286
583,Training RL Agent Debug,2024-11-19 08:39:42.855365,40,9,16,7,1.7777777777777777
584,WildChat16 Dataset Explanation,2024-11-19 02:12:11.011022,46,14,18,10,1.2857142857142858
585,Toxic Conversation Dataset Inquiry,2024-11-19 02:11:57.702865,5,2,2,0,1.0
587,Invisible Control Systems,2024-11-19 00:14:37.156190,36,16,16,0,1.0
586,Repeat After Me,2024-11-18 23:33:16.276275,49,18,18,9,1.0
588,Summarize conversation request,2024-11-18 23:31:35.853036,17,7,7,0,1.0
589,Invisible Script Unveiled,2024-11-18 23:31:02.355341,5,2,2,0,1.0
590,Hello Puppet,2024-11-18 22:53:17.819892,84,41,41,0,1.0
591,Donkey Dick Day,2024-11-18 22:52:52.092035,4,2,1,0,0.5
592,Website Design Request,2024-11-18 19:02:27.993463,4,1,1,0,1.0
593,Build and Host Website,2024-11-18 19:00:22.139866,10,2,3,3,1.5
594,Napping by the Fire,2024-11-18 18:55:33.396505,19,5,8,5,1.6
595,Pet Nap Illustration Request,2024-11-18 18:54:59.638553,4,2,1,0,0.5
597,Sourdough Bread Packaging Design,2024-11-18 14:46:55.844746,7,2,2,2,1.0
596,Establishing Online Presence,2024-11-18 14:42:55.142167,11,4,5,1,1.25
598,Previous Jokers Actors List,2024-11-18 13:56:59.403929,5,2,2,0,1.0
599,IT Resume Enhancement,2024-11-18 12:43:27.469761,50,9,17,13,1.8888888888888888
600,Job Search Opportunities,2024-11-18 12:19:04.820289,19,6,9,3,1.5
601,Dreambound IT Classes Review,2024-11-18 12:09:27.823771,49,24,24,0,1.0
602,Yell for Fun,2024-11-18 11:53:34.628436,12,6,5,0,0.8333333333333334
603,Squiggly line behind eye,2024-11-18 11:50:46.886687,22,11,10,0,0.9090909090909091
604,Head Protection,2024-11-18 11:45:27.971073,49,22,23,2,1.0454545454545454
605,Tax Allowances Explained,2024-11-18 11:42:24.046030,8,4,3,0,0.75
606,Repurposing Arris TM602G,2024-11-18 10:49:53.654167,11,5,5,0,1.0
607,Arris TM602G Modem Info,2024-11-18 10:47:00.787124,7,3,3,0,1.0
608,Automata Bot Upgrade,2024-11-18 05:44:21.206325,14,6,6,0,1.0
609,Pygame Script Request,2024-11-18 05:30:28.594409,73,16,31,11,1.9375
610,Pwnagotchi installation errors,2024-11-18 05:21:03.488316,5,2,1,1,0.5
611,Cough and Inflammation Remedies,2024-11-18 05:18:35.767770,8,3,2,2,0.6666666666666666
613,Permission Denied Fix,2024-11-17 23:09:23.093089,5,2,2,0,1.0
614,Flowers for Myself,2024-11-17 22:20:59.212684,24,7,8,6,1.1428571428571428
615,Creative N Vest Ideas,2024-11-17 19:36:38.402887,82,14,57,8,4.071428571428571
616,DIY Wood Glue Solutions,2024-11-17 17:06:17.206982,7,3,3,0,1.0
617,Dual Boot Chromebook Setup,2024-11-17 15:11:12.171618,5,2,1,1,0.5
619,Dosage Information Request,2024-11-17 13:53:30.590639,7,3,3,0,1.0
620,9 and 13 sum,2024-11-17 12:48:58.407450,16,8,7,0,0.875
618,ADB access Rockchip device,2024-11-17 12:23:57.797425,48,21,21,4,1.0
621,ADB unauthorized device fix,2024-11-17 12:19:42.368906,7,3,3,0,1.0
622,ONN 100096732 Peer ID,2024-11-17 10:22:26.632452,9,3,4,1,1.3333333333333333
623,Barnabas and Pooh Contrast,2024-11-17 09:32:44.914424,9,4,4,0,1.0
612,No response needed,2024-11-17 05:41:46.856498,38,14,19,0,1.3571428571428572
624,Perception and Reality Debate,2024-11-17 05:15:06.307691,39,12,14,10,1.1666666666666667
625,Debug RPG Game Code,2024-11-17 04:57:40.174771,11,3,4,2,1.3333333333333333
627,Improve and Debug Code,2024-11-17 04:56:30.981121,5,2,1,1,0.5
626,Hugging Face API Debugging,2024-11-17 04:29:28.845228,17,7,7,1,1.0
628,AI RPG Game Code,2024-11-17 04:11:37.006543,121,21,42,21,2.0
629,Free AI API,2024-11-17 04:00:38.109410,10,3,3,3,1.0
630,Text Art Correction,2024-11-17 03:55:58.492517,10,2,4,2,2.0
631,Text Art Message,2024-11-17 03:52:40.931494,11,4,5,0,1.25
633,Freelancer Bio Creation,2024-11-17 02:36:24.504815,47,10,20,12,2.0
632,BioSim Evolution Code,2024-11-17 01:17:08.986612,26,8,11,5,1.375
634,Game Development Suggestions,2024-11-17 00:31:09.302216,87,20,24,9,1.2
635,Linux Data Recovery Tools,2024-11-16 20:18:28.307072,7,2,3,1,1.5
636,Hacking Resources and Bots,2024-11-16 20:09:37.231467,11,3,5,2,1.6666666666666667
637,Motherboard Connector Possibilities,2024-11-16 19:08:18.321726,11,5,5,0,1.0
638,Bypassing iCloud Activation Lock,2024-11-16 18:58:16.664731,7,2,3,1,1.5
639,Bear Meat Recipes,2024-11-16 14:48:40.029434,7,3,3,0,1.0
640,Rain Rhyme Query,2024-11-16 11:42:54.920059,22,9,10,1,1.1111111111111112
641,Commission Calculation Explanation,2024-11-16 11:10:41.130361,11,5,5,0,1.0
578,Rockchip RK3326 Modding Guide,2024-11-11 20:15:49.597586,36,16,17,1,1.0625
643,File extraction issue,2024-11-11 19:43:11.109394,8,2,4,1,2.0
644,2021 Chevy Colorado Tips,2024-11-11 16:12:12.691773,6,2,2,0,1.0
642,Nmap Vulnerability Scan Results,2024-11-11 15:21:01.806880,26,11,11,3,1.0
645,Admin Path Enumeration,2024-11-11 15:02:57.505977,13,6,6,0,1.0
647,Network Scan Analysis,2024-11-11 14:24:53.010699,14,6,6,0,1.0
646,Network Tool Feedback,2024-11-11 13:59:42.341962,17,5,8,3,1.6
649,Python venv error,2024-11-11 12:48:52.993517,9,3,5,0,1.6666666666666667
648,INSA Script Review,2024-11-11 12:20:29.290992,41,12,14,14,1.1666666666666667
650,INSA 2.0 Upgrade,2024-11-11 11:40:47.765999,125,30,46,15,1.5333333333333334
651,Network Security Tool Feedback,2024-11-11 11:25:08.549510,7,3,3,0,1.0
652,Badass Chat Program,2024-11-11 11:05:54.998637,27,12,13,0,1.0833333333333333
655,SDR and Satellite Receivers,2024-11-11 06:35:50.412953,26,11,12,1,1.0909090909090908
656,Lesser-known Efficient SBCs,2024-11-11 06:33:14.314584,19,7,9,1,1.2857142857142858
657,Niche Device Modifications,2024-11-11 06:31:44.196425,5,2,2,0,1.0
658,BigTreeTech Touch Screen Applications,2024-11-11 06:27:05.692345,17,6,7,1,1.1666666666666667
659,Autonomous Agent Architecture,2024-11-11 06:25:59.153268,5,2,2,0,1.0
